channel,phase,n_events,n_spikes_total,baseline_rate_mean_hz,response_rate_mean_hz,delta_rate_mean_hz,delta_rate_median_hz,wilcoxon_p,class
33,all,144,639,0.5416666666666666,0.4305555555555556,-0.1111111111111111,0.0,0.16180004682173266,neutral
34,rating,56,6480,4.964285714285714,4.446428571428571,-0.5178571428571429,0.0,0.3065500867481765,neutral
34,free,88,6480,4.636363636363637,4.920454545454546,0.2840909090909091,0.5,0.25066355763485937,neutral
34,all,144,6480,4.763888888888889,4.736111111111111,-0.027777777777777776,0.0,0.7756394110219507,neutral
35,rating,56,615,0.5357142857142857,0.5,-0.03571428571428571,0.0,0.6633161548021481,neutral
35,free,88,615,0.5681818181818182,0.5795454545454546,0.011363636363636364,0.0,0.8080825593189009,neutral
35,all,144,615,0.5555555555555556,0.5486111111111112,-0.006944444444444444,0.0,0.945920605324867,neutral
36,rating,56,813,0.8571428571428571,0.5892857142857143,-0.26785714285714285,0.0,0.12584628231059677,neutral
36,free,88,813,0.6590909090909091,0.6136363636363636,-0.045454545454545456,0.0,0.8282099143811419,neutral
36,all,144,813,0.7361111111111112,0.6041666666666666,-0.13194444444444445,0.0,0.24430930804675366,neutral
37,rating,56,16521,10.25,10.892857142857142,0.6428571428571429,0.0,0.41409894787844703,neutral
37,free,88,16521,13.522727272727273,14.034090909090908,0.5113636363636364,0.0,0.3455080140331167,neutral
37,all,144,16521,12.25,12.8125,0.5625,0.0,0.21779607124853928,neutral
38,rating,56,526,0.25,0.5178571428571429,0.26785714285714285,0.0,0.019402013588344542,neutral
38,free,88,526,0.5681818181818182,0.32954545454545453,-0.23863636363636365,0.0,0.04724030090264262,neutral
38,all,144,526,0.4444444444444444,0.4027777777777778,-0.041666666666666664,0.0,0.5184598208528681,neutral
39,rating,56,745,0.5714285714285714,0.5535714285714286,-0.017857142857142856,0.0,0.7354146752657996,neutral
39,free,88,745,0.5909090909090909,0.5340909090909091,-0.056818181818181816,0.0,0.7902132040044125,neutral
39,all,144,745,0.5833333333333334,0.5416666666666666,-0.041666666666666664,0.0,0.6534213883852775,neutral
40,rating,56,11,0.0,0.0,0.0,0.0,1.0,neutral
40,free,88,11,0.0,0.011363636363636364,0.011363636363636364,0.0,0.31731050786291415,neutral
40,all,144,11,0.0,0.006944444444444444,0.006944444444444444,0.0,0.31731050786291415,neutral
41,rating,56,735,0.4642857142857143,0.625,0.16071428571428573,0.0,0.5927616748668111,neutral
41,free,88,735,0.5909090909090909,0.4659090909090909,-0.125,0.0,0.3557464300504004,neutral
41,all,144,735,0.5416666666666666,0.5277777777777778,-0.013888888888888888,0.0,0.7265635210701799,neutral
42,rating,56,309,0.35714285714285715,0.16071428571428573,-0.19642857142857142,0.0,0.08480711559554274,neutral
42,free,88,309,0.18181818181818182,0.1590909090909091,-0.022727272727272728,0.0,0.7700169896399772,neutral
42,all,144,309,0.25,0.1597222222222222,-0.09027777777777778,0.0,0.12770506996829545,neutral
43,rating,56,21,0.0,0.0,0.0,0.0,1.0,neutral
43,free,88,21,0.0,0.011363636363636364,0.011363636363636364,0.0,0.31731050786291415,neutral
43,all,144,21,0.0,0.006944444444444444,0.006944444444444444,0.0,0.31731050786291415,neutral
44,rating,56,1555,1.5714285714285714,1.2321428571428572,-0.3392857142857143,0.0,0.34531492663051255,neutral
44,free,88,1555,1.0681818181818181,0.9545454545454546,-0.11363636363636363,0.0,0.6381128211555076,neutral
44,all,144,1555,1.2638888888888888,1.0625,-0.2013888888888889,0.0,0.32765845894419066,neutral
45,rating,56,1045,0.8928571428571429,0.6785714285714286,-0.21428571428571427,0.0,0.29491031809024426,neutral
45,free,88,1045,0.6818181818181818,0.9431818181818182,0.26136363636363635,0.0,0.16683485790104058,neutral
45,all,144,1045,0.7638888888888888,0.8402777777777778,0.0763888888888889,0.0,0.6310285046980166,neutral
46,rating,56,1162,0.75,0.7678571428571429,0.017857142857142856,0.0,0.8782990517158221,neutral
46,free,88,1162,0.9318181818181818,1.0568181818181819,0.125,0.0,0.39839052946089304,neutral
46,all,144,1162,0.8611111111111112,0.9444444444444444,0.08333333333333333,0.0,0.44504633716207975,neutral
47,rating,56,6760,5.642857142857143,5.089285714285714,-0.5535714285714286,-1.0,0.18985378960695298,neutral
47,free,88,6760,4.886363636363637,4.693181818181818,-0.19318181818181818,0.0,0.6996939821952521,neutral
47,all,144,6760,5.180555555555555,4.847222222222222,-0.3333333333333333,0.0,0.259380699643426,neutral
48,rating,56,1946,1.3214285714285714,1.4285714285714286,0.10714285714285714,0.0,0.5803271921949755,neutral
48,free,88,1946,1.4772727272727273,1.3522727272727273,-0.125,0.0,0.7986075133001093,neutral
48,all,144,1946,1.4166666666666667,1.3819444444444444,-0.034722222222222224,0.0,0.9108725694193768,neutral
49,rating,56,968,0.5,0.42857142857142855,-0.07142857142857142,0.0,0.5455251145309313,neutral
49,free,88,968,0.8863636363636364,0.9204545454545454,0.03409090909090909,0.0,0.8565950670976112,neutral
49,all,144,968,0.7361111111111112,0.7291666666666666,-0.006944444444444444,0.0,0.8584968151198378,neutral
50,rating,56,522,0.39285714285714285,0.39285714285714285,0.0,0.0,0.9124622483684217,neutral
50,free,88,522,0.3409090909090909,0.29545454545454547,-0.045454545454545456,0.0,0.5547173234660683,neutral
50,all,144,522,0.3611111111111111,0.3333333333333333,-0.027777777777777776,0.0,0.6929402171891815,neutral
