channel,region,phase,response_slope_hz_per_s,peak_time_s,peak_ifr_hz,early_mean_hz,late_mean_hz,early_late_diff_hz
47,amygdala,like,-0.13329270953787373,0.43500000000000083,2.7884484959497517,1.3428328682771993,0.8740395916708631,-0.4687932766063362
48,hippocampus,like,0.08527604417536601,0.4850000000000009,1.058510562861243,0.5650487688839074,0.4517119875459265,-0.11333678133798092
49,hippocampus,like,0.2208838966477581,0.9750000000000013,1.4359514048161732,0.4850093860687001,0.4954699834040744,0.0104605973353743
50,hippocampus,like,-0.14104274781993478,0.36500000000000077,0.508592566950467,0.31177852608972273,0.19290138291152195,-0.11887714317820078
51,hippocampus,like,-0.5874384817914474,0.3050000000000007,1.6468106014069732,0.6192833881656912,0.2548070608695656,-0.36447632729612556
52,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
53,hippocampus,like,0.47377974138534285,0.635000000000001,2.8168471099631964,0.3711184396573531,0.8977754655660187,0.5266570259086656
54,hippocampus,like,-0.19126912691269107,0.24500000000000066,0.4986978555496912,0.125,0.0,-0.125
55,hippocampus,like,0.06928350780168815,0.8650000000000012,0.5002381913001822,0.11294844645839923,0.1547734405928364,0.041824994134437174
56,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
57,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
58,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
59,hippocampus,like,0.2622215181151216,0.33500000000000074,0.8769036056012197,0.24956430593236967,0.24210474480292365,-0.007459561129446013
60,hippocampus,like,-0.2436949227037943,0.1750000000000006,0.4986978555496912,0.12497405698226537,0.0,-0.12497405698226537
61,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
62,hippocampus,like,-0.32446730539662794,0.2650000000000007,0.6646045069219527,0.29772591706088586,0.12501064485580268,-0.17271527220508318
63,hippocampus,like,0.025966379043492156,0.05500000000000049,0.508592566950467,0.11718993645359413,0.2463819987758367,0.12919206232224256
0,hippocampus,dislike,0.410567372526726,0.625000000000001,1.2217744876705339,0.0028640921749300587,0.4181885394040174,0.41532444722908735
1,hippocampus,dislike,0.04625762160563619,0.10500000000000054,0.8424218449699686,0.4104297189295085,0.361511752977857,-0.04891796595165154
2,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
3,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
4,hippocampus,dislike,-0.0644523579918696,0.035000000000000475,0.4199560888839505,0.07983285069080921,0.10526315789473685,0.025430307203927638
5,hippocampus,dislike,0.8466266259694388,0.0050000000000004485,2.9474879109276984,1.9194216233563617,2.421043907157751,0.5016222838013895
6,hippocampus,dislike,-0.1917503257336276,0.3750000000000008,0.4707770940757503,0.280019201406251,0.14103624776416004,-0.13898295364209093
7,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
8,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
9,hippocampus,dislike,1.7209229424460966,0.35500000000000076,3.8195848812015534,1.5509391173679086,1.9648966088757174,0.4139574915078088
10,hippocampus,dislike,0.6209639943199254,0.675000000000001,2.402497343758888,1.1626007351632657,1.5667115899344983,0.40411085477123265
11,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
12,hippocampus,dislike,-0.15475231733699665,0.25500000000000067,0.4199560888839505,0.10526315789473685,0.0,-0.10526315789473685
13,hippocampus,dislike,2.0971524857157307,0.8350000000000012,3.5061743794878737,0.6662835653168909,1.761288258035424,1.095004692718533
14,hippocampus,dislike,-0.4185834380440981,0.3850000000000008,1.5455373143911275,0.8725634715871645,0.5402985124635337,-0.33226495912363085
15,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
16,amygdala,dislike,-0.8309874269195555,0.21500000000000064,5.272200405953186,3.859406368723414,3.4035325323299377,-0.45587383639347623
17,amygdala,dislike,0.5742234984150054,0.675000000000001,0.8871862703662616,0.2155194333686048,0.535969072388134,0.32044963901952916
18,amygdala,dislike,0.5727796329757381,0.9250000000000013,0.9293213721086538,0.2383144843123005,0.45321557889133823,0.21490109457903772
19,amygdala,dislike,0.3581196183383657,0.9950000000000013,2.358217854371741,1.3470387350138489,1.412852095765387,0.0658133607515381
20,amygdala,dislike,-0.028423895021081117,0.05500000000000049,0.4199560888839505,0.17695805463669337,0.11035748276755925,-0.06660057186913412
21,amygdala,dislike,0.6438192657688467,0.47500000000000087,2.8660996764652285,1.3648406952292558,1.5439639543829216,0.17912325915366578
22,amygdala,dislike,0.0548692631195818,0.7350000000000011,0.7993087315845158,0.2126196723669158,0.23285655742662775,0.02023688505971194
23,amygdala,dislike,-0.2465260198547161,0.07500000000000051,0.4199560888839505,0.0982667648518931,0.0,-0.0982667648518931
24,amygdala,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
25,amygdala,dislike,0.20919731480810577,0.4950000000000009,0.42060022201792807,0.16211614448272132,0.24915471069709313,0.08703856621437181
26,amygdala,dislike,0.2900675862896033,0.8050000000000012,1.7561426359420462,0.7707368559634368,1.0147587785284347,0.24402192256499788
27,amygdala,dislike,-0.48246288092169093,0.025000000000000466,0.7993087315845158,0.25561506573938597,0.0006439048969171267,-0.25497116084246885
28,amygdala,dislike,0.04292245284066842,0.7350000000000011,0.4425869133587678,0.20652887137098264,0.3124325888814766,0.10590371751049399
29,amygdala,dislike,0.23370758128444408,0.615000000000001,0.4282884774319722,0.0011153876059221454,0.20941092818355156,0.20829554057762942
30,amygdala,dislike,1.8888063606115992,0.7850000000000011,10.613724402723292,7.554125764476047,8.415973957283073,0.8618481928070265
31,amygdala,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
32,amygdala,dislike,-0.2978326953120111,0.22500000000000064,0.8826618592018167,0.45673739322086476,0.44578083771213733,-0.010956555508727428
33,amygdala,dislike,1.4159365167411122,0.8650000000000012,6.548986083601775,4.07083665321693,5.1760838984474855,1.1052472452305553
34,amygdala,dislike,1.172565914352409,0.635000000000001,2.4706533346471304,0.12206062820732948,1.1684432659610953,1.0463826377537657
35,amygdala,dislike,0.01741721125791168,0.9950000000000013,1.1468163617300424,0.48281425084954316,0.4692012107271947,-0.013613040122348485
36,amygdala,dislike,1.3614134652014016,0.8450000000000012,13.635876787791057,10.491833080137791,10.827785404041794,0.335952323904003
37,amygdala,dislike,-0.634524670664776,0.22500000000000064,1.3104421830420836,0.8024462499392787,0.40297617573412753,-0.3994700742051512
38,amygdala,dislike,-0.37900492502961064,0.3050000000000007,1.0185412882657814,0.7132162366778733,0.5458273218286942,-0.16738891484917906
39,amygdala,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
40,amygdala,dislike,-0.04545790528252332,0.8050000000000012,1.003723305252905,0.39095006545792155,0.31600260884340786,-0.07494745661451369
41,amygdala,dislike,0.20470350921900443,0.0050000000000004485,0.5692545823595135,0.07707487562587367,0.27372801254947277,0.1966531369235991
42,amygdala,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
43,amygdala,dislike,1.0383420972801374,0.9450000000000013,2.3882546388729757,0.9013982611781323,1.3310307405061192,0.429632479327987
44,amygdala,dislike,-1.1095032615247884,0.3050000000000007,1.348693280498321,1.0074229266350267,0.447693816028724,-0.5597291106063027
45,amygdala,dislike,-0.502009228831604,0.2650000000000007,1.5414273339427134,1.0269258522760476,0.6794879410439507,-0.3474379112320969
46,amygdala,dislike,1.6202466079963318,0.665000000000001,6.393570753236318,3.6354401367568085,4.496094412817714,0.860654276060905
47,amygdala,dislike,1.389660268993718,0.585000000000001,2.8302719001288015,1.1585935964719258,2.15661759840331,0.998024001931384
48,hippocampus,dislike,0.14791733937925858,0.9650000000000013,0.8319038149367614,0.3015974772013949,0.3631533560427944,0.061555878841399514
49,hippocampus,dislike,-0.36569137938916474,0.045000000000000484,1.1221243609383849,0.45978889338293316,0.33247946814429336,-0.1273094252386398
50,hippocampus,dislike,-0.5240068582289618,0.25500000000000067,1.5484963899685937,0.8491735736560533,0.4282998022414583,-0.420873771414595
51,hippocampus,dislike,-0.11774506600097116,0.25500000000000067,0.4489835758566208,0.2694019433222467,0.20054428689382295,-0.06885765642842376
52,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
53,hippocampus,dislike,0.5230472164557278,0.565000000000001,1.5248596631587579,0.1598756358744491,0.54492044625684,0.3850448103823909
54,hippocampus,dislike,-0.2475658673097212,0.08500000000000052,0.4199560888839505,0.1006020339971366,0.0,-0.1006020339971366
55,hippocampus,dislike,-0.1200120012001199,0.2650000000000007,0.4199560888839505,0.1245944509075382,0.0859318648819355,-0.03866258602560271
56,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
57,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
58,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
59,hippocampus,dislike,0.42577650842614106,0.9650000000000013,0.839912177767901,0.0,0.15966570138161842,0.15966570138161842
60,hippocampus,dislike,0.013403931343831606,0.9950000000000013,0.08310876366237667,0.0,0.004661123897600244,0.004661123897600244
61,hippocampus,dislike,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
62,hippocampus,dislike,-0.4344745343336078,0.12500000000000056,0.7803559952308824,0.33916905897254934,0.1153640453127211,-0.22380501365982824
63,hippocampus,dislike,0.1772939291116122,0.9850000000000013,0.4199560888839505,0.0,0.06506394785963078,0.06506394785963078
