region,time_s,like_mean_hz,like_std_hz,dislike_mean_hz,dislike_std_hz,diff_mean_hz,p_raw,p_fdr
overall,0.9250000000000013,0.8647383626929037,1.7921958955054873,0.9295176028316715,2.0442865214790493,-0.06477924013876778,0.43358028518834,0.669105378377068
overall,0.9350000000000013,0.8744806207561283,1.7800879330957167,0.9176300273635104,1.991934494959065,-0.04314940660738264,0.4849130252357077,0.6887969108461757
overall,0.9450000000000013,0.8815013881277353,1.7536945879276056,0.9061372703442819,1.939676687958251,-0.024635882216546785,0.8142898151420133,0.8812660337034776
overall,0.9550000000000013,0.8856644728938527,1.715114424252548,0.8948953769876541,1.8894100824062288,-0.00923090409380112,0.8913729266385233,0.9251519764430823
overall,0.9650000000000013,0.8870431976110587,1.6681876133793065,0.8838083015238823,1.8427788004927106,0.0032348960871766592,0.8569416532326027,0.9053407792017724
overall,0.9750000000000013,0.8859035796825799,1.6178918841527643,0.8728807070140349,1.8009709460181478,0.013022872668545273,0.8741274947577417,0.9143593041398971
overall,0.9850000000000013,0.8826729423409136,1.569381343971885,0.8621467920793243,1.7644027301829985,0.020526150261589673,0.9869248047447011,0.9869248047447011
overall,0.9950000000000013,0.8778644583791606,1.5268788338698012,0.8516368798801968,1.732606021612857,0.026227578498963695,0.8483735727532129,0.902525077397035
overall,1.0050000000000012,0.8721224655381301,1.4933796102223744,0.841315739268166,1.7043549005988572,0.030806726269964467,0.6581436102395282,0.7688593577564581
overall,1.0150000000000015,0.8660759046252371,1.4703205996692446,0.8311011497425687,1.6779934816117796,0.03497475488266831,0.5811324119238933,0.7184104444020001
overall,1.0250000000000012,0.8603837716580458,1.458111741314677,0.8208337037298807,1.6519832348230092,0.03955006792816505,0.4947105686499643,0.6987437410310231
overall,1.0350000000000015,0.8556471305392619,1.456767273422948,0.8103448419284909,1.6254084782156872,0.04530228861077083,0.4196319473526863,0.6552268367296054
overall,1.0450000000000013,0.8523437918544416,1.4661977685983945,0.7995625753039194,1.5984525673614827,0.052781216550522175,0.36353218735984816,0.641162985980682
