Channel	SCS	MNI	World	ASEG	ASEG_prob	DKT	DKT_prob	Desikan-Killiany	Desikan-Killiany_prob	Destrieux	Destrieux_prob	mid_277045V:DKT	mid_277045V:Destrieux	mid_277045V:Desikan-Killiany	mid_277045V:Brodmann	mid_277045V:Brodmann-thresh	mid_277045V:vcAtlas	mid_15002V:DKT	mid_15002V:Destrieux	mid_15002V:Desikan-Killiany	mid_15002V:Brodmann	mid_15002V:Brodmann-thresh	mid_15002V:vcAtlas	cortex_277045V:DKT	cortex_277045V:Destrieux	cortex_277045V:Desikan-Killiany	cortex_277045V:Brodmann	cortex_277045V:Brodmann-thresh	cortex_277045V:vcAtlas	cortex_15002V:DKT	cortex_15002V:Destrieux	cortex_15002V:Desikan-Killiany	cortex_15002V:Brodmann	cortex_15002V:Brodmann-thresh	cortex_15002V:vcAtlas	cortex_cereb_17005V:DKT	cortex_cereb_17005V:Destrieux	cortex_cereb_17005V:Desikan-Killiany	cortex_cereb_17005V:Brodmann	cortex_cereb_17005V:Brodmann-thresh	cortex_cereb_17005V:vcAtlas	white_277045V:DKT	white_277045V:Destrieux	white_277045V:Desikan-Killiany	white_277045V:Brodmann	white_277045V:Brodmann-thresh	white_277045V:vcAtlas	white_15003V:DKT	white_15003V:Destrieux	white_15003V:Desikan-Killiany	white_15003V:Brodmann	white_15003V:Brodmann-thresh	white_15003V:vcAtlas
F-insula-sTL10	[0.182,64.872,48.511]	[-66.658,-18.491,7.240]	[-70.111,20.530,13.270]	Cortex L	33%	Superior temporal L	33%	Superior temporal L	33%	G_temp_sup-Lateral L	33%	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G-OFC1	[37.285,2.305,25.770]	[-2.236,22.039,-19.447]	[-8.935,62.992,-2.948]	Cortex L	44%	Medial orbitofrontal L	44%	Medial orbitofrontal L	44%	S_suborbital L	27%	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	G_rectus R	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	G_rectus R	medialorbitofrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G-OFC2	[38.362,5.481,26.769]	[-5.508,23.208,-18.332]	[-12.127,63.775,-1.744]	Cortex L	74%	Medial orbitofrontal L	74%	Medial orbitofrontal L	74%	S_suborbital L	70%	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_suborbital L	medialorbitofrontal L	N/A	N/A	N/A
G-OFC3	[39.439,8.658,27.768]	[-8.779,24.377,-17.217]	[-15.318,64.558,-0.539]	White L	56%	White L	56%	White L	56%	White L	56%	medialorbitofrontal L	S_orbital_med-olfact L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_orbital_med-olfact L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_orbital_med-olfact L	medialorbitofrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	medialorbitofrontal L	S_orbital_med-olfact L	medialorbitofrontal L	N/A	N/A	N/A	medialorbitofrontal L	S_orbital_med-olfact L	medialorbitofrontal L	N/A	N/A	N/A
G-OFC4	[40.515,11.835,28.768]	[-12.051,25.547,-16.101]	[-18.510,65.341,0.665]	Cortex L	80%	Lateral orbitofrontal L	63%	Lateral orbitofrontal L	62%	S_orbital_med-olfact L	78%	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A
G-OFC5	[41.592,15.012,29.767]	[-15.323,26.716,-14.986]	[-21.702,66.123,1.870]	White L	84%	White L	84%	White L	84%	White L	84%	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital_med-olfact L	lateralorbitofrontal L	N/A	N/A	N/A
G-OFC6	[42.669,18.189,30.766]	[-18.595,27.886,-13.871]	[-24.893,66.906,3.074]	White L	90%	White L	90%	White L	90%	White L	90%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A
G-OFC7	[43.745,21.366,31.765]	[-21.867,29.055,-12.755]	[-28.085,67.689,4.278]	White L	73%	White L	73%	White L	73%	White L	73%	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A
G-OFC8	[44.822,24.543,32.764]	[-25.139,30.224,-11.640]	[-31.276,68.472,5.483]	White L	68%	White L	68%	White L	68%	White L	68%	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A
G-OFC9	[45.899,27.719,33.764]	[-28.411,31.394,-10.525]	[-34.468,69.255,6.687]	Cortex L	75%	Lateral orbitofrontal L	75%	Lateral orbitofrontal L	75%	S_orbital-H_Shaped L	75%	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A
G-OFC10	[46.975,30.896,34.763]	[-31.682,32.563,-9.409]	[-37.660,70.038,7.892]	Cortex L	61%	Lateral orbitofrontal L	54%	Lateral orbitofrontal L	49%	S_orbital-H_Shaped L	61%	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	lateralorbitofrontal L	N/A	N/A	N/A	lateralorbitofrontal L	S_orbital-H_Shaped L	parsorbitalis L	N/A	N/A	N/A
G-OFC11	[48.052,34.073,35.762]	[-34.954,33.733,-8.294]	[-40.851,70.821,9.096]	White L	65%	White L	65%	White L	65%	White L	65%	parsorbitalis L	S_orbital-H_Shaped L	parsorbitalis L	N/A	N/A	N/A	parsorbitalis L	S_orbital-H_Shaped L	parsorbitalis L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	parsorbitalis L	S_orbital-H_Shaped L	parsorbitalis L	N/A	N/A	N/A	parsorbitalis L	S_orbital-H_Shaped L	parsorbitalis L	N/A	N/A	N/A
G-OFC12	[49.129,37.250,36.761]	[-38.226,34.902,-7.179]	[-44.043,71.603,10.300]	White L	88%	White L	88%	White L	88%	White L	88%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	parsorbitalis L	S_orbital-H_Shaped L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	G_orbital L	parstriangularis L	BA45_exvivo L	N/A	N/A
G-OFC13	[50.205,40.427,37.761]	[-41.498,36.071,-6.063]	[-47.235,72.386,11.505]	White L	70%	White L	70%	White L	70%	White L	70%	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A
G-OFC14	[51.282,43.604,38.760]	[-44.770,37.241,-4.948]	[-50.426,73.169,12.709]	White L	60%	White L	60%	White L	60%	White L	60%	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	S_orbital_lateral L	parstriangularis L	BA45_exvivo L	N/A	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	N/A	N/A
G-OFC15	[52.359,46.780,39.759]	[-48.042,38.410,-3.833]	[-53.618,73.952,13.914]	Cortex L	56%	Pars triangularis L	56%	Pars triangularis L	56%	G_front_inf-Triangul L	56%	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A
G-OFC16	[53.435,49.957,40.758]	[-51.314,39.579,-2.717]	[-56.810,74.735,15.118]	Cortex L	49%	Pars triangularis L	49%	Pars triangularis L	49%	G_front_inf-Triangul L	49%	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	parstriangularis L	G_front_inf-Triangul L	parstriangularis L	BA45_exvivo L	BA45_exvivo L	N/A	N/A	N/A	N/A	N/A	N/A	N/A
H-vTL1	[-26.398,19.095,25.097]	[-19.561,-47.546,-18.863]	[-23.935,-0.008,-14.948]	Cerebellum L	60%	Cerebellum L	60%	Cerebellum L	60%	Cerebellum L	60%	lingual L	G_oc-temp_med-Lingual L	lingual L	N/A	N/A	N/A	lingual L	G_oc-temp_med-Lingual L	lingual L	N/A	N/A	N/A	lingual L	G_oc-temp_med-Lingual L	lingual L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	lingual L	G_oc-temp_med-Lingual L	lingual L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
H-vTL2	[-27.348,22.452,25.379]	[-23.023,-48.599,-18.521]	[-27.260,-1.094,-14.812]	Cortex L	55%	Fusiform L	41%	Fusiform L	41%	G_oc-temp_lat-fusifor L	41%	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	V2_exvivo L	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L
H-vTL3	[-28.297,25.809,25.662]	[-26.484,-49.651,-18.178]	[-30.584,-2.179,-14.677]	Cortex L	74%	Fusiform L	74%	Fusiform L	74%	G_oc-temp_lat-fusifor L	73%	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	N/A	N/A	N/A	N/A	N/A	N/A	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L
H-vTL4	[-29.247,29.166,25.944]	[-29.946,-50.703,-17.836]	[-33.909,-3.265,-14.541]	Cortex L	52%	Fusiform L	52%	Fusiform L	52%	White L	48%	fusiform L	S_oc-temp_med_and_Lingual L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG3 L
H-vTL5	[-30.196,32.523,26.227]	[-33.407,-51.756,-17.494]	[-37.233,-4.350,-14.405]	White L	73%	White L	73%	White L	73%	White L	73%	fusiform L	S_oc-temp_med_and_Lingual L	fusiform L	N/A	N/A	FG3 L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	fusiform L	S_oc-temp_med_and_Lingual L	fusiform L	N/A	N/A	FG3 L	fusiform L	S_oc-temp_med_and_Lingual L	fusiform L	N/A	N/A	FG3 L
H-vTL6	[-31.145,35.880,26.509]	[-36.869,-52.808,-17.152]	[-40.558,-5.436,-14.270]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG4 L	fusiform L	G_oc-temp_lat-fusifor L	fusiform L	N/A	N/A	FG4 L
H-vTL7	[-32.095,39.236,26.792]	[-40.330,-53.861,-16.810]	[-43.883,-6.522,-14.134]	White L	76%	White L	76%	White L	76%	White L	76%	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L
H-vTL8	[-33.044,42.593,27.074]	[-43.792,-54.913,-16.467]	[-47.207,-7.607,-13.998]	White L	52%	White L	52%	White L	52%	White L	52%	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L
H-vTL9	[-33.993,45.950,27.357]	[-47.254,-55.965,-16.125]	[-50.532,-8.693,-13.862]	White L	57%	White L	57%	White L	57%	White L	57%	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_oc-temp_lat L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiortemporal L	S_oc-temp_lat L	inferiortemporal L	N/A	N/A	FG4 L	fusiform L	S_oc-temp_lat L	fusiform L	N/A	N/A	FG4 L
H-vTL10	[-34.943,49.307,27.639]	[-50.715,-57.018,-15.783]	[-53.857,-9.778,-13.727]	Cortex L	65%	Inferior temporal L	65%	Inferior temporal L	65%	S_temporal_inf L	52%	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_oc-temp_lat L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_oc-temp_lat L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A
I-PCC1	[-23.518,-0.576,55.243]	[0.898,-43.837,15.399]	[-3.935,-2.008,15.052]	CC_Posterior	12%	CC_Posterior	12%	CC_Posterior	12%	CC_Posterior	12%	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
I-PCC2	[-23.753,2.861,55.860]	[-2.644,-44.106,16.107]	[-7.355,-2.454,15.647]	Cortex L	42%	Isthmus cingulate L	42%	Isthmus cingulate L	42%	S_pericallosal L	31%	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	G_cingul-Post-dorsal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	G_cingul-Post-dorsal L	isthmuscingulate L	N/A	N/A	N/A
I-PCC3	[-23.988,6.298,56.478]	[-6.187,-44.374,16.816]	[-10.775,-2.900,16.242]	Cortex L	51%	Isthmus cingulate L	51%	Isthmus cingulate L	51%	White L	46%	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A
I-PCC4	[-24.224,9.735,57.096]	[-9.729,-44.643,17.525]	[-14.195,-3.346,16.836]	White L	87%	White L	87%	White L	87%	White L	87%	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A	isthmuscingulate L	S_pericallosal L	isthmuscingulate L	N/A	N/A	N/A
I-PCC5	[-24.459,13.172,57.713]	[-13.272,-44.912,18.233]	[-17.615,-3.792,17.431]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
I-PCC6	[-24.694,16.610,58.331]	[-16.814,-45.181,18.942]	[-21.036,-4.239,18.026]	White L	99%	White L	99%	White L	99%	White L	99%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
I-PCC7	[-24.929,20.047,58.949]	[-20.356,-45.450,19.651]	[-24.456,-4.685,18.621]	White L	92%	White L	92%	White L	92%	White L	92%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
I-PCC8	[-25.164,23.484,59.566]	[-23.899,-45.719,20.359]	[-27.876,-5.131,19.216]	White L	95%	White L	95%	White L	95%	White L	95%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
I-PCC9	[-25.399,26.921,60.184]	[-27.441,-45.988,21.068]	[-31.296,-5.577,19.810]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
I-PCC10	[-25.634,30.358,60.801]	[-30.983,-46.256,21.777]	[-34.716,-6.023,20.405]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
I-PCC11	[-25.870,33.795,61.419]	[-34.526,-46.525,22.485]	[-38.136,-6.469,21.000]	White L	78%	White L	78%	White L	78%	White L	78%	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A
