edfchannel	other_name	ASEG	ASEG_prob	DKT	DKT_prob	AAL3 (MNI-linear)	AAL3 (MNI-linear)_prob
L6	R-BNST-Hua6	White R	98%	White R	98%	Caudate R	39%
L7	R-BNST-Hua7	White R	81%	White R	81%	Caudate R	80%
L8	R-BNST-Hua8	White R	66%	White R	66%	Caudate R	92%
L9	R-BNST-Hua9	White R	75%	White R	75%	Caudate R	96%
L10	R-BNST-Hua10	White R	100%	White R	100%	Caudate R	56%
L11	R-BNST-Hua11	White R	100%	White R	100%		
L12	R-BNST-Hua12	White R	100%	White R	100%		
L13	R-BNST-Hua13	White R	100%	White R	100%	Frontal_Inf_Oper R	27%
L14	R-BNST-Hua14	White R	97%	White R	97%	Frontal_Inf_Oper R	15%
L15	R-BNST-Hua15	White R	80%	White R	80%	Frontal_Mid_2 R	12%
L16	R-BNST-Hua16	White R	95%	White R	95%	Frontal_Mid_2 R	58%
M1	R-MFB-Hua1	VentralDC R	100%	Thalamus R	100%	Red_N R	49%
M2	R-MFB-Hua2	VentralDC R	100%	Thalamus R	100%	Red_N R	49%
M3	R-MFB-Hua3	VentralDC R	100%	Thalamus R	100%	Thal_IL R	11%
M4	R-MFB-Hua4	VentralDC R	72%	Thalamus R	72%	Thal_VL R	63%
M5	R-MFB-Hua5	Thalamus R	86%	Thalamus R	86%	Thal_VL R	100%
M6	R-MFB-Hua6	Thalamus R	78%	Thalamus R	78%	Thal_VL R	100%
M7	R-MFB-Hua7	White R	72%	White R	72%	Thal_VL R	100%
M8	R-MFB-Hua8	White R	96%	White R	96%	Thal_VL R	72%
M9	R-MFB-Hua9	White R	100%	White R	100%	Caudate R	46%
M10	R-MFB-Hua10	White R	92%	White R	92%	Caudate R	90%
M11	R-MFB-Hua11	White R	100%	White R	100%	Caudate R	54%
M12	R-MFB-Hua12	White R	100%	White R	100%	Caudate R	5%
M13	R-MFB-Hua13	White R	100%	White R	100%		
M14	R-MFB-Hua14	White R	100%	White R	100%		
M15	R-MFB-Hua15	White R	100%	White R	100%		
M16	R-MFB-Hua16	White R	99%	White R	99%	Frontal_Mid_2 R	3%
N1	L-insul-Hua1	Cortex L	59%	Insula L	59%	Insula L	63%
N2	L-insul-Hua2	Cortex L	82%	Insula L	82%	Insula L	99%
N3	L-insul-Hua3	Cortex L	80%	Insula L	80%	Insula L	98%
N4	L-insul-Hua4	Cortex L	85%	Insula L	75%	Insula L	89%
N5	L-insul-Hua5	Cortex L	71%	Pars opercularis L	44%	Insula L	99%
N6	L-insul-Hua6	Cortex L	49%	Pars opercularis L	46%	Frontal_Inf_Oper L	51%
N7	L-insul-Hua7	Cortex L	46%	Pars opercularis L	37%	Frontal_Inf_Oper L	87%
N8	L-insul-Hua8	Cortex L	59%	Pars opercularis L	59%	Frontal_Inf_Oper L	89%
N9	L-insul-Hua9	White L	98%	White L	98%	Frontal_Inf_Oper L	71%
N10	L-insul-Hua10	Cortex L	53%	White L	44%	Frontal_Inf_Tri L	70%
N11	L-insul-Hua11	Cortex L	55%	Rostral mid front L	49%	Frontal_Inf_Tri L	86%
N12	L-insul-Hua12	White L	99%	White L	99%	Frontal_Inf_Tri L	74%
N13	L-insul-Hua13	White L	84%	White L	84%	Frontal_Mid_2 L	89%
N14	L-insul-Hua14	White L	56%	White L	56%	Frontal_Mid_2 L	100%
N15	L-insul-Hua15	White L	58%	White L	58%	Frontal_Mid_2 L	100%
N16	L-insul-Hua16	Cortex L	75%	Rostral mid front L	75%	Frontal_Mid_2 L	100%
O1	L-OFC-Hua1	Cortex L	65%	White L	65%	Rectus L	47%
O2	L-OFC-Hua2	Cortex L	71%	Lateral orbitofrontal L	49%	OFCmed L	75%
O3	L-OFC-Hua3	Cortex L	65%	Lateral orbitofrontal L	65%	OFCmed L	97%
O4	L-OFC-Hua4	Cortex L	60%	Lateral orbitofrontal L	60%	OFCmed L	100%
O5	L-OFC-Hua5	Cortex L	82%	Lateral orbitofrontal L	82%	OFCmed L	61%
