subject,onset,valence,event_type
sub-cs48,19.08,neutral,event_boundary
sub-cs48,21.72,neutral,event_boundary
sub-cs48,25.08,neutral,event_boundary
sub-cs48,27.08,neutral,event_boundary
sub-cs48,37.64,neutral,event_boundary
sub-cs48,46.16,neutral,event_boundary
sub-cs48,66.28,neutral,event_boundary
sub-cs48,66.8,neutral,event_boundary
sub-cs48,90.16,neutral,event_boundary
sub-cs48,92.72,neutral,event_boundary
sub-cs48,94.88,neutral,event_boundary
sub-cs48,99.32,neutral,event_boundary
sub-cs48,103.64,neutral,event_boundary
sub-cs48,108.28,neutral,event_boundary
sub-cs48,113.44,neutral,event_boundary
sub-cs48,115.0,neutral,event_boundary
sub-cs48,117.96,neutral,event_boundary
sub-cs48,120.0,neutral,event_boundary
sub-cs48,121.88,neutral,event_boundary
sub-cs48,126.52,neutral,event_boundary
sub-cs48,129.2,neutral,event_boundary
sub-cs48,137.56,neutral,event_boundary
sub-cs48,140.36,neutral,event_boundary
sub-cs48,143.36,neutral,event_boundary
sub-cs48,145.24,neutral,event_boundary
sub-cs48,147.88,neutral,event_boundary
sub-cs48,149.4,neutral,event_boundary
sub-cs48,150.76,neutral,event_boundary
sub-cs48,153.4,neutral,event_boundary
sub-cs48,153.92,neutral,event_boundary
sub-cs48,159.08,neutral,event_boundary
sub-cs48,161.16,neutral,event_boundary
sub-cs48,163.08,neutral,event_boundary
sub-cs48,167.28,neutral,event_boundary
sub-cs48,169.04,neutral,event_boundary
sub-cs48,170.68,neutral,event_boundary
sub-cs48,171.84,neutral,event_boundary
sub-cs48,173.48,neutral,event_boundary
sub-cs48,184.92,neutral,event_boundary
sub-cs48,211.6,neutral,event_boundary
sub-cs48,217.48,neutral,event_boundary
sub-cs48,254.24,neutral,event_boundary
sub-cs48,256.12,neutral,event_boundary
sub-cs48,261.6,neutral,event_boundary
sub-cs48,264.84,neutral,event_boundary
sub-cs48,266.68,neutral,event_boundary
sub-cs48,269.24,neutral,event_boundary
